day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
464,23,2,2.087833212841954,7.11105449736917,165,0
465,169,45,1.2594314106391342,8.472720322869367,3668,1
466,184,41,1.2609851512479855,7.771412059012383,3667,1
467,133,25,1.2155215364192251,7.494622604904078,3667,1
468,143,27,1.200144419906698,7.061387912865135,3666,1
469,144,28,1.2111952551671945,7.560780132238773,3664,1
470,21,5,2.0858015130337373,7.217852929220789,169,0
471,24,6,2.059992985114809,6.76857471549462,185,0
472,160,29,1.2192353821506674,7.689600187809501,3661,1
473,160,34,1.247549135368266,7.552299091979481,3661,1
474,148,17,1.2085093684738089,7.505742055931154,3659,1
475,146,43,1.1632212757191323,7.528952558585559,3659,1
476,10,4,1.6940947768569277,7.084848540848824,160,0
477,26,6,2.1273225941821794,7.056504579207211,175,0
478,24,9,2.240697552836101,7.862265884546224,166,0
479,160,39,1.1527452799639029,7.867976455724261,3656,1
480,135,19,1.201696118722186,7.614083380339658,3656,0
481,108,12,1.0962505060407537,7.927162204344284,3655,0
482,98,16,1.090496082409882,7.770337904304329,3654,0
483,103,17,1.043715877706257,7.212415847820724,3653,0
484,25,8,2.313794157704942,7.250834635085975,152,0
485,26,5,2.2628362151574675,7.627121836050834,167,0
486,99,22,1.011603049271674,7.898326895555367,3652,0
487,88,11,0.987603670035115,7.918475286074932,3651,0
488,80,10,1.0269512759259085,6.940925342065015,3649,0
489,133,25,1.1612206908224494,7.931879035469295,3648,0
490,110,25,1.0843029352141227,7.359108745034811,3649,0
491,18,4,2.0262247343752597,7.785462352705937,182,0
492,12,6,1.9877055045502907,7.905687340046149,168,0
493,114,28,1.066847692056857,7.648916079449139,3648,0
494,124,17,1.158110278858551,7.27538964368227,3647,0
495,103,21,1.098594030440902,7.12275321798389,3645,0
496,192,35,1.2668975967972183,8.172270491596791,3644,0
497,187,42,1.3202848794920365,8.16960947239733,3643,0
498,60,35,2.7791727259188153,7.708322846871892,220,0
